energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
9.3,0.1,0.00011,0.000000004,,9.3,1613952,0.0,(E2),,,3.26E5,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,B-,98.62,0.0036,44.8,8,90,137,Th,15-Jan-2016,ICTP-2014 Workshop Group,2026-06-07
12.9,0.1,0.000015,0.000004,,12.89,,0.0,(E2),,,5.11E4,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
15.2,0.1,0.000629998,0.000000023,,24.5,,9.3,(M1),,,238,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,B-,98.62,0.0036,44.8,8,90,137,Th,15-Jan-2016,ICTP-2014 Workshop Group,2026-06-07
24.5,0.2,0.0279999,0.000001,,24.5,1613952,0.0,M1+E2,0.097,5,326,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,B-,98.62,0.0036,44.8,8,90,137,Th,15-Jan-2016,ICTP-2014 Workshop Group,2026-06-07
25.95,,0.00000061,0.00000017,,160.48,,134.51,,,,,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
28.6,0.5,0.0419999,0.0000015,,37.9,,9.3,E1,,,3.23,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,B-,98.62,0.0036,44.8,8,90,137,Th,15-Jan-2016,ICTP-2014 Workshop Group,2026-06-07
33.5,0.1,0.00012,0.00004,,134.51,,101.00,[E1],,,2.02,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
35,0.2,0.00003,0.000017,,134.51,,99.63,[E1],,,1.80,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
37.47,,0.000003,0.0000008,,172.08,,134.51,,,,,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
37.9,0.5,0.0489998,0.0000018,,37.9,1613952,0.0,E1,,,1.54,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,B-,98.62,0.0036,44.8,8,90,137,Th,15-Jan-2016,ICTP-2014 Workshop Group,2026-06-07
44.7,0.1,0.00012,0.00004,,99.63,,54.97,[M1+E2],,,2.3E2,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
51.06,,0.0000003,0.00000008,,222.75,,172.08,,,,,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
52.32,,0.0000015,0.0000004,,187.18,,134.51,,,,,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
53.7,0.2,0.000046,0.00002,,242.63,,189.10,[E1],,,0.573,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
55,0.1,0.00049,0.00016,,54.97,,0.0,M1+E2,0.05,4,17.4,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
55.8,0.05,0.0000043,0.0000012,,244.66,,189.10,,,,,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
57.56,0.05,0.0000035,0.000001,,244.66,,187.18,,,,,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
59.4,0.2,0.000046,0.00002,,160.48,,101.00,[E1],,,0.437,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
60.6,0.3,0.000046,0.00002,,160.48,,99.63,[E1],,,0.414,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
69.28,0.08,0.0043,0.0013,,82.13,,12.89,M1+E2,0.57,,19.0,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
70.6,0.2,0.00009,0.00004,,242.63,,172.08,[M1+E2],,,27,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
72.5,0.2,0.00008,0.00004,,244.66,,172.08,[E1],,,0.256,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
72.5,0.2,0.00008,0.00004,,172.08,,99.63,[E1],,,0.256,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
79.54,0.08,0.0012,0.0004,,134.51,,54.97,E1,,,0.200,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
82.2,0.1,0.0009,0.0003,,82.13,,0.0,E2,,,22.5,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
83,0.1,0.0000015,0.0000004,,243.85,,160.48,,,,,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
85,0.5,0.000012,0.000003,,219.61,,134.51,,,,,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
86.1,0.1,0.00052,0.00014,,187.18,,101.00,,,,,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
86.7,0.2,0.003,0.0009,,99.63,,12.89,[M1+E2],,,11,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
88.1,0.1,0.0008,0.0003,,189.10,,101.00,[M1+E2],,,10,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
88.1,0.1,0.0008,0.0003,,101.00,,12.89,[M1+E2],,,10,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
88.5,0.6,0.0000011,0.0000003,,222.75,,134.51,,,,,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
90,0.1,0.0002,0.00009,,172.08,,82.13,[E1],,,0.144,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
99.6,0.1,0.0056,0.0017,,99.63,,0.0,M1+E2,,,6,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
101,0.1,0.0008,0.0004,,101.00,,0.0,[M1+E2],,,6,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
105,0.2,0.00038,0.00015,,187.18,,82.13,M1,,,13.3,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
106.85,0.1,0.0012,0.0004,,189.10,,82.13,M1(+E2),,,10,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
108,0.3,0.000046,0.00002,,242.63,,134.51,[M1+E2],,,9,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
118.7,0.4,0.000046,0.00002,,219.61,,101.00,[E1],,,0.317,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
121.6,0.1,0.0014,0.0005,,365.47,,243.85,[E1],,,0.299,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
121.6,0.1,0.0014,0.0005,,134.51,,12.89,[E1],,,0.299,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
134.5,0.1,0.00061,0.00022,,134.51,,0.0,E1,,,0.233,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
137.4,0.1,0.00046,0.0002,,219.61,,82.13,[E1],,,0.221,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
140.9,0.1,0.00023,0.00009,,222.75,,82.13,[E1],,,0.208,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
143,0.1,0.0003,0.0001,,242.63,,99.63,[E1],,,0.201,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
143,0.1,0.0003,0.0001,,365.47,,222.75,[M1+E2],,,3.7,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
143.65,0.05,0.000029,0.000008,,244.66,,101.00,M1,,,5.38,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
146,0.2,0.00001,0.000003,,365.47,,219.61,,,,,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2026-06-07
